year,temp,rain,sunshine,wing
1977/5,18,286,258.9,3.2
1978/5,18.2,128,214.3,2.5
1979/5,17.8,253,272.7,3
1980/5,18.2,271,218.2,2.9
1981/5,17.5,201,236.4,3.1
1982/5,19.2,118,243,2.4
1983/5,18.6,161,259.3,2.5
1984/5,17.6,157,229,2.3
1985/5,18.5,227,213.7,1.9
1986/5,17.6,284,221.4,2.7
1987/5,18.1,206,210.9,2.3
1988/5,17.9,137,165.4,2.4
1989/5,17.5,165,120.9,2.1
1990/5,17.8,262,151.3,2.4
1991/5,17.7,127,131.5,2.4
1992/5,17.3,267,162.5,2.8
1993/5,17.5,51,165.6,3
1994/5,19.1,131,178.6,2.7
1995/5,18.2,283,145.7,2.8
1996/5,18.2,121,154.7,2.9
1997/5,18.8,137,199.6,2.5
1998/5,20.5,271,94.8,2.6
1999/5,19.1,216,182.6,2.5
2000/5,19.7,98,166.5,2.2
2001/5,19.3,145,136.7,2.3
2002/5,19,109,122.3,2.5
2003/5,18.5,175,96.1,2.3
2004/5,20,239,146,2.4
2005/5,18.3,109,206,2.3
2006/5,18.6,277,137.4,3.8
2007/5,18.6,151,238.3,4.2
2008/5,19,260.5,192,3.8
2009/5,19,299,196.9,3.6
2010/5,18.1,137,236.9,4.2
2011/5,18.6,244.5,177.9,3.7
2012/5,18.5,66,216.2,4
2013/5,18.6,128.5,274.5,4
2014/5,18.7,160,274.8,4
2015/5,19.9,88,244.1,3.5
2016/5,19.7,189,215.6,3.5
2017/5,19.5,61,227.3,3.4
2018/5,19.1,272.5,209.1,3.3
2019/5,19.3,207,269.8,3.7
2020/5,19.9,130,227.6,3.4
2021/5,19.3,206.5,165.4,3.7
